"","shannon","hid"
"1",1.34014660704867,3
"2",0.313934493887096,6
"3",1.29614107521765,7
"4",1.59254202457182,12
"5",1.68509494642314,13
"6",1.5555983426401,15
"7",0.887542064451349,21
"8",1.83450869175416,22
"9",1.5874589070467,25
"10",1.9071844975995,29
"11",1.64122910900111,34
"12",1.88338558968275,37
"13",2.06580085109275,39
"14",1.25771202423194,40
"15",0.341388779148349,44
"16",2.16977977256757,46
"17",2.12058109462897,47
"18",1.82929093287275,52
"19",2.02392616940257,54
"20",2.25560772333489,56
"21",1.98488410735065,60
"22",1.75025904474838,63
"23",1.60822586943667,68
"24",1.35512502949788,70
"25",2.49545087270682,74
"26",0.819171068669174,76
"27",0.985283540707228,80
"28",1.6052387437351,83
"29",1.50404963701304,84
"30",1.93306342524406,89
"31",1.39005403189674,115
"32",1.66201971967163,116
"33",2.02837075522489,117
"34",2.01984342953462,118
"35",1.99493831507156,122
"36",2.01925820621491,123
"37",1.5881652584335,126
"38",1.37941361680266,128
"39",2.3344385186923,169
"40",1.26156495670162,170
"41",1.52830105345653,173
"42",0.992463206684111,175
"43",1.69650608536738,181
"44",1.64822118420567,183
"45",1.55104276924109,191
"46",1.91240509619872,192
"47",2.19750196982739,196
"48",1.80309318948244,201
"49",1.28789542037112,204
"50",1.50301885443199,207
"51",1.1549736233045,209
"52",1.90468930301288,210
"53",2.20148577789141,213
"54",2.26953602496661,215
"55",1.66837594190757,220
"56",1.71547703678002,246
"57",2.10677178610615,247
"58",2.44309140949633,249
"59",0.880433288623483,250
"60",1.14038588022727,251
"61",0.873380521269937,254
"62",1.87854239476641,255
"63",1.40828617616711,258
"64",0.900840326081692,260
"65",1.82559963569684,266
"66",1.18920882402015,269
"67",1.78745340382039,270
"68",0.383710670208881,273
"69",0.570333947230812,277
"70",1.39439075605978,279
"71",1.43367993086982,282
"72",1.28188458828131,325
"73",1.22664546002569,326
"74",1.13000458385078,329
"75",1.51749191273518,333
"76",1.12052992088291,349
"77",1.63287191308196,351
"78",1.40582999057922,354
"79",1.65889381373345,355
"80",1.59808845043658,358
"81",0.75972029615197,361
"82",0.60224183451363,369
"83",0.805930933635894,373
"84",1.71161462015207,375
"85",1.19798634644393,376
"86",1.66944451245804,379
"87",1.303847939261,382
"88",1.64965591374401,385
"89",0.947160033952613,387
"90",0.794855754719719,388
"91",1.47217601836091,391
"92",0.655524341471893,410
"93",1.50431528688796,415
"94",0.932872609058161,419
"95",1.14986757430745,423
"96",0.613576983227804,424
"97",1.03390621463436,425
"98",1.14767907829854,426
"99",1.26751663282024,433
"100",1.19225128024359,435
"101",1.4033114834666,436
"102",0.589525326188841,437
"103",0.700172739926921,442
"104",1.17216235710278,443
"105",1.63850552212513,449
"106",0.264868045155525,454
"107",1.01485652421632,455
"108",0.609209335251128,457
"109",1.25530257150054,460
"110",1.20671480983749,463
"111",1.48189525068878,470
"112",1.00690455957829,474
"113",1.32804479180776,481
"114",1.11622598367714,482
"115",1.43291145356532,483
"116",1.57636680661927,485
"117",0.48057922345517,486
"118",1.02166332451915,488
"119",0.277256917343887,495
"120",1.67958908481024,496
"121",1.07335893137638,502
"122",1.24309242767402,503
"123",1.52580616206259,505
"124",1.38355990238225,507
"125",2.00132263885271,508
"126",1.5014696112488,510
"127",1.59043821189495,511
"128",0.737476705899691,515
"129",1.07780375752893,516
"130",1.00580571681189,519
"131",0.185496383839891,521
"132",1.08791767519652,522
"133",1.11084984739849,527
"134",0.44293569989541,528
"135",0.317141413125319,529
"136",1.72943819945561,534
"137",0.231705782232648,537
"138",0.802772266353233,538
"139",0.472524159592459,540
"140",0.799615989200462,542
"141",1.07371843220048,543
"142",0.780839133165071,544
"143",1.41137394085827,547
"144",1.21849010578526,548
"145",0.588283147902687,549
"146",1.16596088747162,550
"147",1.45810820963092,555
"148",1.18685431307476,559
"149",1.38806031278193,565
"150",1.17356944305053,568
"151",1.41769420921859,569
"152",1.12692656239149,571
"153",1.55821570598459,574
"154",1.14915954529863,575
"155",1.37521621325705,577
"156",1.50884341875359,578
"157",1.36137100215005,579
"158",1.75688997200857,581
"159",0.593082624953838,584
"160",0.994522308989995,588
"161",0.90728279962545,590
"162",1.0316526457926,597
"163",1.59747707566583,598
"164",0.905943220355562,599
"165",0.833078405267765,600
"166",0.863235650468232,603
"167",0.896741113066034,609
"168",1.31764954243552,610
"169",1.13273222339637,611
"170",1.78181941427459,615
"171",1.14436008260337,619
"172",1.41119741510743,625
"173",1.17059222951729,627
"174",1.0550060188652,629
"175",1.09827069320686,630
"176",1.51776046147594,632
"177",1.57263873314816,638
"178",1.77156101569306,639
"179",1.55038977215655,641
"180",1.14098283080758,642
"181",1.18939662455906,644
"182",1.08034828176084,649
"183",1.11407758439327,650
"184",1.70776667120213,654
"185",1.23946914744693,656
"186",1.33817281548869,658
"187",1.45813022742932,664
"188",0.561424818574207,667
"189",1.73585777074634,670
"190",1.20419307994769,672
"191",1.13580357589995,675
"192",0.394326428040945,676
"193",1.09338250103434,678
"194",1.14953391175733,681
"195",1.24238673598569,687
"196",0.90878344180283,690
"197",1.20077714298521,695
"198",1.4225907036243,698
"199",1.75065924986518,699
