Sp_acronym;S0700;S0850;S1050;S1200;S1400;S1450;S1650;S1850;S1900;S1950;S2150;S2350;S2400
Fagr_blum;0;0;0;0;0;0;0;0;0;0;0;3;0
Utan_mori;0;1;0;0;0;0;0;0;0;0;0;0;0
Gnet_gnem;0;11;0;0;0;0;0;0;0;0;0;0;0
Dist_dunn;0;0;0;0;0;0;0;0;3;6;0;0;0
Galb_belg;0;0;0;0;2;0;0;0;0;0;0;0;0
Plat_exce;0;0;6;0;0;22;1;0;0;0;0;0;0
Plat_lati;0;0;0;0;12;5;1;0;0;0;0;0;0
Ixon_peti;1;6;0;0;0;0;0;0;0;0;0;0;0
Enge_apoe;0;0;0;0;1;0;0;0;0;0;0;0;0
Enge_rigi;0;0;0;0;0;0;0;0;11;1;0;0;0
Enge_serr;0;0;0;0;0;0;4;0;0;0;0;0;0
Enge_spic;0;0;1;0;2;0;0;0;0;0;0;0;0
Call_pent;1;0;0;0;0;0;0;0;0;0;0;0;0
Vite_quin;2;0;0;3;0;0;0;0;0;0;0;0;0
Cinn_pold;0;0;0;2;0;1;0;0;0;0;0;0;0
Cryp_albi;0;0;0;0;0;0;0;0;0;1;0;0;5
Cryp_ampl;4;0;0;0;0;0;1;0;0;0;0;0;0
Cryp_micr;0;2;1;0;0;0;0;0;0;0;0;0;0
Cryp_cras;0;0;0;8;0;0;0;0;0;0;0;0;0
Cryp_dens;3;5;6;0;0;1;0;0;0;2;0;0;0
Cryp_ferr;4;0;0;0;0;0;0;0;0;0;0;0;0
Cryp_grif;0;0;0;5;0;0;0;0;0;0;0;0;0
Endi_macr;0;0;4;3;0;0;0;0;0;0;0;0;0
Endi_scro;2;0;0;0;2;0;0;0;0;0;0;0;0
Endi_sula;0;0;0;0;0;1;3;0;0;0;0;0;0
Lind_apoe;0;0;0;0;0;0;4;0;0;0;0;0;0
Lind_novo;0;0;1;0;0;0;0;0;0;0;0;0;0
Lits_elon;0;0;0;0;0;0;0;0;1;0;0;0;0
Lits_angu;5;6;2;0;1;0;0;0;0;0;0;0;0
Lits_elli;0;0;0;0;2;0;0;0;0;0;0;0;0
Lits_firm;0;2;0;0;0;0;0;0;0;0;0;0;0
Lits_gran;0;1;0;0;0;1;0;0;0;0;0;0;0
Lits_lanc;0;0;0;1;0;0;0;0;0;0;0;0;0
Lits_pall;0;0;0;0;0;2;4;0;0;0;0;0;0
Lits_timo;0;0;0;5;0;0;0;0;0;0;0;0;0
Mach_rimo;0;0;0;0;1;2;0;0;0;1;0;0;0
Neol_cass;0;0;0;0;0;1;0;0;0;0;0;12;3
Noth_albi;0;0;0;0;1;0;0;0;0;1;0;0;0
Noth_spnov;0;0;0;1;0;0;0;0;0;0;0;0;0
Phoe_gran;2;0;2;0;0;0;0;0;0;0;0;0;0
Phoe_ster;0;0;0;7;0;0;0;0;0;0;0;0;0
Geni_rupe;0;0;0;1;0;0;0;0;1;0;0;0;0
Magn_cars;0;0;0;0;0;4;0;0;0;3;0;0;0
Magn_lili;0;0;0;0;1;2;0;0;0;3;0;0;0
Magn_sula;0;0;0;0;0;0;0;0;4;1;0;0;0
Magn_tsia;0;0;0;1;0;0;0;0;0;0;0;0;0
Magn_vrie;2;0;0;0;0;0;0;0;0;0;0;0;0
Ster_insu;0;0;0;1;0;1;0;0;0;0;0;0;0
Astr_atro;0;0;0;0;0;0;0;1;6;0;0;0;0
Astr_macr;1;0;0;0;0;0;0;0;0;0;0;0;0
Agla_lanc;0;1;0;0;0;0;0;0;0;0;0;0;0
Agla_silv;0;0;0;0;0;0;1;0;0;0;0;0;0
Agla_spec;1;0;0;2;0;0;0;0;0;0;0;0;0
Agla_tome;0;0;1;0;0;0;0;0;0;0;0;0;0
Chis_pate;0;0;2;0;0;0;0;0;0;0;0;0;0
Chis_pent;0;0;0;5;0;0;0;0;0;0;0;0;0
Dyso_acut;0;0;1;0;0;0;0;0;0;0;0;0;0
Dyso_alli;0;0;0;1;0;1;0;0;0;0;0;0;0
Dyso_dens;2;0;0;10;0;1;0;0;0;0;0;0;0
Dyso_exce;0;1;0;0;0;0;1;0;0;0;0;0;0
Rein_sp;0;0;0;0;1;1;0;0;0;0;0;0;0
Kiba_cori;1;0;0;0;0;0;0;0;0;0;0;0;0
Levi_mont;0;0;1;0;2;0;2;0;0;0;0;0;0
Matt_sanc;0;0;1;0;0;0;0;0;0;0;0;0;0
Steg_hirs;1;0;0;0;0;0;0;0;0;0;0;0;0
Anti_toxi;1;0;0;0;0;0;0;0;0;0;0;0;0
Arto_lacu;0;0;0;1;0;0;0;0;0;0;0;0;0
Arto_teys;0;3;0;0;0;0;0;0;0;0;0;0;0
Ficu_bunt;0;0;0;1;0;0;0;0;0;0;0;0;0
Ficu_cras;0;0;1;0;0;2;1;0;0;1;0;0;0
Ficu_lumu;2;1;0;0;0;0;0;0;0;0;0;0;0
Ficu_tinc;0;0;0;0;0;1;0;0;0;0;0;0;0
Ficu_vari;0;0;0;2;0;0;0;0;0;0;0;0;0
Stre_glab;0;0;0;0;6;0;0;0;0;0;0;0;0
Trop_phil;1;0;0;1;0;0;0;0;0;0;0;0;0
More_java;0;0;0;0;0;0;0;0;0;0;0;0;2
Gymn_farq;1;0;1;0;0;0;0;0;0;0;0;0;0
Hors_cost;11;3;2;11;2;0;0;0;0;0;0;0;0
Hors_parv;2;0;0;0;0;0;0;0;0;0;0;0;0
Hors_sp;0;0;0;0;0;1;0;0;0;0;0;0;0
Knem_stel;0;0;2;0;0;0;0;0;0;0;0;0;0
Myri_simi;1;0;0;0;0;0;0;0;0;0;0;0;0
Lept_java;0;0;0;0;0;0;0;0;0;0;0;1;0
Syzy_acum;1;1;1;0;9;0;11;31;14;17;0;1;16
Syzy_acut;0;0;0;0;0;0;2;0;0;0;0;0;0
Syzy_baeu;0;0;0;0;0;0;0;1;0;0;0;0;0
Syzy_rose;0;0;0;0;0;0;0;1;0;6;16;0;0
Syzy_balg;2;5;1;0;3;3;0;3;12;6;0;0;0
Syzy_benj;0;0;0;0;0;0;0;0;0;0;0;0;10
Syzy_cele;4;0;0;0;0;0;0;0;0;0;0;0;0
Syzy_lept;0;0;0;0;0;0;0;6;0;5;0;0;0
Syzy_effu;0;0;0;0;0;4;0;0;0;0;0;0;0
Syzy_fast;0;0;0;0;0;0;2;0;1;2;0;0;0
Syzy_gala;1;0;0;0;0;0;0;0;0;0;0;0;0
Syzy_kina;0;0;0;0;0;0;0;0;0;5;29;0;0
Syzy_line;0;0;0;0;0;4;2;0;0;0;0;0;0
Syzy_nigr;0;0;0;0;0;0;0;1;3;0;0;0;0
Syzy_phae;1;0;0;0;0;0;0;0;0;0;0;0;0
Syzy_sp1;0;0;0;0;0;0;0;0;0;0;0;0;6
Syzy_sp2;0;0;0;0;0;0;0;0;0;0;15;15;0
Syzy_sp3;0;0;0;0;1;0;0;0;0;0;0;0;0
Syzy_sp4;0;0;0;0;0;0;0;3;11;4;0;0;0
Syzy_sp5;0;0;0;0;1;0;5;0;0;4;0;0;0
Syzy_trip;0;0;0;0;0;0;0;0;24;9;0;0;0
Syzy_zeyl;0;0;0;0;1;0;0;0;0;0;0;0;0
Xant_angu;0;0;0;0;0;0;0;0;1;1;22;11;0
Chio_cele;0;0;0;0;0;1;0;0;3;0;0;0;0
Chio_sula;0;0;0;0;0;0;1;0;0;0;0;0;0
Chio_poly;2;1;0;0;17;2;0;0;0;1;0;0;0
Chio_rami;0;0;0;1;0;0;0;0;0;0;0;0;0
Ligu_glom;0;0;0;1;0;0;0;0;0;0;0;0;0
Pand_brac;0;0;1;0;0;0;0;0;0;0;0;0;0
Pand_sula;0;0;0;0;0;6;0;0;0;1;0;0;0
Quin_apoe;0;0;0;0;0;0;0;0;0;0;17;18;29
Sphe_papu;0;0;0;0;0;0;0;0;1;0;2;0;1
Adin_masa;0;0;0;0;0;0;0;0;4;0;0;0;0
Adin_cele;0;0;0;0;0;0;0;0;0;3;0;0;0
Adin_eyma;0;0;0;0;0;0;0;0;0;1;0;5;2
Adin_sp;0;0;0;0;0;0;0;0;0;1;0;1;1
Eury_acum;0;0;0;0;1;0;0;1;2;0;0;0;0
Eury_chin;0;0;0;0;0;0;0;0;1;0;0;0;1
Tern_phil;0;0;0;0;0;2;0;0;0;6;0;0;0
Tern_urda;0;0;0;0;0;0;0;0;0;0;0;1;1
Trig_mala;0;10;1;0;0;0;0;0;0;0;0;0;0
Anti_exca;0;0;3;4;0;0;0;0;0;0;0;0;0
Apor_frut;0;0;1;0;0;0;0;0;0;0;0;0;0
Bacc_nani;1;0;0;0;0;0;0;0;0;0;0;0;0
Bacc_sp;2;0;0;0;0;0;0;0;0;0;0;0;0
Bacc_tetr;0;0;0;1;0;0;0;0;0;0;0;0;0
Brid_glau;0;0;0;4;0;0;0;0;0;0;0;0;0
Gloc_inse;0;0;0;0;0;0;0;1;0;0;0;0;0
Gloc_molu;0;0;0;0;0;0;0;0;1;0;0;0;0
Phyl_luci;1;0;1;0;2;0;0;0;0;0;0;0;0
Dacr_cinc;0;0;0;0;0;0;0;0;0;0;0;0;8
Dacr_imbr;0;0;0;0;0;0;0;0;0;2;0;30;18
Phyl_hypo;0;0;0;0;0;0;0;0;0;5;72;51;24
Podo_neri;0;0;0;0;0;4;1;0;0;0;0;0;0
Podo_pilg;0;0;0;0;0;0;0;0;0;0;0;0;2
Podo_rump;0;0;0;0;0;0;0;0;0;1;0;0;0
Ardi_tern;0;0;0;1;0;0;1;0;0;0;0;0;0
Myrs_rawa;0;0;0;0;0;0;0;0;0;1;9;0;0
Myrs_invo;0;0;0;0;0;0;1;0;0;0;0;0;1
Myrs_minu;0;0;0;0;0;0;0;0;0;0;4;1;0
Heli_cele;0;0;0;0;0;1;0;0;0;0;0;0;3
Maca_hild;0;0;0;0;3;2;0;1;0;0;0;0;0
Dryp_sibu;0;0;0;0;0;0;1;0;0;0;0;0;0
Dryp_mina;0;0;3;0;0;0;0;0;0;0;0;0;0
Prun_arbo;6;2;0;1;0;4;0;0;0;0;0;0;3
Prun_gris;0;0;0;1;0;0;0;1;0;0;6;3;2
Dipl_tina;0;0;2;0;0;0;0;0;0;0;0;0;0
Gard_sp;0;0;1;0;0;0;0;0;0;0;0;0;0
Neon_lanc;0;0;0;2;0;0;0;0;0;0;0;0;0
Port_cele;0;0;2;0;5;0;2;0;0;0;0;0;0
Psyc_spnov2;0;0;0;0;0;0;0;0;0;0;0;1;3
Timo_mina;0;0;0;2;0;0;0;0;0;0;0;0;0
Timo_teys;0;0;0;0;0;0;2;1;0;0;0;0;0
Acro_pedu;0;0;1;0;1;1;0;0;0;0;0;0;0
Meli_denh;0;0;0;0;1;0;0;0;0;0;0;0;0
Meli_frut;1;1;1;0;1;0;2;0;0;0;0;0;0
Meli_maxi;0;0;0;0;0;0;0;0;0;1;0;7;2
Tetr_tetr;0;0;0;0;0;7;0;0;0;0;13;0;0
