"","hhid","species_name","abundance","regency","village","plotID","crop"
"75",37,"Clidemia hirta","341","Sarolangun","Batu Putih",1,"Rubber"
"76",37,"Melastoma malabathricum","121","Sarolangun","Batu Putih",1,"Rubber"
"77",37,"leptaspis","821","Sarolangun","Batu Putih",1,"Rubber"
"78",37,"endospermum","1","Sarolangun","Batu Putih",1,"Rubber"
"79",37,"Lygodium salicifolium","6","Sarolangun","Batu Putih",1,"Rubber"
"80",37,"cyrtococcum paten","2320","Sarolangun","Batu Putih",1,"Rubber"
"81",37,"Daun Hati","25","Sarolangun","Batu Putih",1,"Rubber"
"82",37,"Mirip Daun Jati","1","Sarolangun","Batu Putih",1,"Rubber"
"83",37,"helminthostachys","5","Sarolangun","Batu Putih",1,"Rubber"
"84",37,"Buah berbulu","2","Sarolangun","Batu Putih",1,"Rubber"
"85",37,"Daun Bergerigi","2","Sarolangun","Batu Putih",1,"Rubber"
"86",39,"Clidemia hirta","130","Sarolangun","Batu Putih",1,"Rubber"
"87",39,"Davallia denticulata","11","Sarolangun","Batu Putih",1,"Rubber"
"88",39,"Lindsaea ensifolia","11","Sarolangun","Batu Putih",1,"Rubber"
"89",39,"Mangifera indica","15","Sarolangun","Batu Putih",1,"Rubber"
"90",39,"Mimosa ","2","Sarolangun","Batu Putih",1,"Rubber"
"91",39,"Phylanthus urinaria","5","Sarolangun","Batu Putih",1,"Rubber"
"92",39,"LN: Laos- Laosan","1","Sarolangun","Batu Putih",1,"Rubber"
"93",39,"Stachytarpheta indica","120","Sarolangun","Batu Putih",1,"Rubber"
"94",39,"polygala","12","Sarolangun","Batu Putih",1,"Rubber"
"95",39,"leptaspis","342","Sarolangun","Batu Putih",1,"Rubber"
"96",39,"Scleria ciliaris","52","Sarolangun","Batu Putih",1,"Rubber"
"97",39,"Asystasia gangetica","116","Sarolangun","Batu Putih",1,"Rubber"
"98",39,"cyrtococcum patens","560","Sarolangun","Batu Putih",1,"Rubber"
"99",39,"Daun Jarak","17","Sarolangun","Batu Putih",1,"Rubber"
"100",39,"Ageratum conyzoides","56","Sarolangun","Batu Putih",1,"Rubber"
"101",39,"Asystasia gangetica","116","Sarolangun","Batu Putih",1,"Rubber"
"102",39,"Clidemia hirta","130","Sarolangun","Batu Putih",1,"Rubber"
