"","Species"
"227","Vittaria ensiformis"
"228","Wedelia biflora"
"229","Asplenium glaucophyllum"
"230","Asplenium longissimum"
"231","Lygodium cf. circinatum"
"232","Lygodium cf. salicifolium"
"233","Helminthostachys zeylanica"
"234","Ophioglossum pendulum"
"235","Ophioglossum reticulatum"
"236","Drynaria quercifolia"
"237","Goniophlebium percussum"
"238","Platycerium coronarium"
"239","Pityrogramma calomelanos"
"240","Vittaria elongata"
"241","Selaginella plana"
"242","Cyathula prostrata"
"243","Allamanda cathartica"
"244","Acmella paniculata"
"245","Clibadium surinamense"
"246","Crassocephalum crepidioides"
"247","Rolandra fructicosa"
"248","Sphagneticola trilobata"
"249","Synedrella nudiflora"
"250","Cleome rutidosperma"
"251","Merremia umbellata"
"252","Cheilocostus speciosus"
"253","Rhynchospora colorata"
"254","Endospermum diadenum"
"255","Mallotus peltatus"
"256","Calopogonium mucunoides"
"257","Centrosema pubescens"
"258","Phanera kockiana"
"259","Clerodendrum deflexum"
"260","Clerodendrum paniculatum"
"261","Lindernia crustacea"
"262","Torenia violacea"
"263","Cuphea carthagenensis"
"264","Urena lobata"
"265","Eulophia spectabilis"
"266","Passiflora foetida"
"267","Peperomia pellucida"
"268","Centotheca lappacea"
"269","Cyrtococcum patens"
"270","Leptaspis urceolata"
"271","Paspalum dilatatum"
"272","Pennisetum polystachion"
"273","Polygala paniculata"
"274","Salomonia cantoniensis"
"275","Marantodes pumilum"
"276","Lasianthus inaequalis"
"277","Mussaenda frondosa"
"278","Rothmannia macrophylla"
"279","Spermacoce cristata"
"280","Uncaria cordata"
"281","Scoparia dulcis"
"282","Poikilospermum suaveolens"
"283","Pouzolzia zeylanica"
"284","Pterisanthes heterantha"
"285","Etlingera hemisphaerica"
"286","Etlingera pauciflora"
"287","Globba pendula"
