"","hid","SpeciesName","Abundance","regency","village","pid","crop","wave"
"69",25,"Mirip Sellaginela","54","Sarolangun","Batu Putih",3,"Rubber",2018
"70",25,"Axonopus compressus","73","Sarolangun","Batu Putih",3,"Rubber",2018
"71",25,"LN: Paku rambat keriting","164","Sarolangun","Batu Putih",3,"Rubber",2018
"72",25,"Goniophlebium verrucosum","21","Sarolangun","Batu Putih",3,"Rubber",2018
"73",25,"Lindsaea ensifolia","6","Sarolangun","Batu Putih",3,"Rubber",2018
"74",25,"Dicranopteris linearis","76","Sarolangun","Batu Putih",3,"Rubber",2018
"75",25,"Cyrtococcum patens","81","Sarolangun","Batu Putih",3,"Rubber",2018
"76",25,"Clidemia hirta","231","Sarolangun","Batu Putih",3,"Rubber",2018
"77",25,"Melastoma malabathricum","64","Sarolangun","Batu Putih",3,"Rubber",2018
"78",29,"Dicranopteris linearis","328","Sarolangun","Batu Putih",1,"Rubber",2018
"79",29,"Clidemia hirta","29","Sarolangun","Batu Putih",1,"Rubber",2018
"80",29,"Lindsaea ensifolia","83","Sarolangun","Batu Putih",1,"Rubber",2018
"81",29,"MS: Paku rambat keriting","72","Sarolangun","Batu Putih",1,"Rubber",2018
"82",29,"Mirip Pulai Pipit","4","Sarolangun","Batu Putih",1,"Rubber",2018
"83",29,"Kayu Tutup","2","Sarolangun","Batu Putih",1,"Rubber",2018
"84",29,"Melastoma malabathricum","12","Sarolangun","Batu Putih",1,"Rubber",2018
"85",29,"Calopogonium Mucunoides","13","Sarolangun","Batu Putih",1,"Rubber",2018
"86",29,"Mussaenda frondosa","12","Sarolangun","Batu Putih",1,"Rubber",2018
"87",29,"Endospermum diadenum","4","Sarolangun","Batu Putih",1,"Rubber",2018
"88",29,"Uncaria Cordata","6","Sarolangun","Batu Putih",1,"Rubber",2018
"89",29,"Sauropus androgynus","3","Sarolangun","Batu Putih",1,"Rubber",2018
"90",29,"Scleria ciliaris","35","Sarolangun","Batu Putih",1,"Rubber",2018
"91",34,"Ageratum conyzoides","2","Sarolangun","Batu Putih",5,"Rubber",2018
"92",34,"Axonopus compressus","35","Sarolangun","Batu Putih",5,"Rubber",2018
"93",34,"LN: Lengkuas","1","Sarolangun","Batu Putih",5,"Rubber",2018
"94",34,"Asystasia gangetica","82","Sarolangun","Batu Putih",5,"Rubber",2018
"95",34,"Leptaspis urceolata","44","Sarolangun","Batu Putih",5,"Rubber",2018
"96",34,"Daun Belakang Merah","4","Sarolangun","Batu Putih",5,"Rubber",2018
"97",34,"Mirip Ensospermum","2","Sarolangun","Batu Putih",5,"Rubber",2018
"98",34,"Melastoma malabathricum","18","Sarolangun","Batu Putih",5,"Rubber",2018
"99",34,"Mirip Daun Salam","1","Sarolangun","Batu Putih",5,"Rubber",2018
"100",34,"Clidemia hirta","35","Sarolangun","Batu Putih",5,"Rubber",2018
"101",34,"Peperomia Pellucida","20","Sarolangun","Batu Putih",5,"Rubber",2018
"102",34,"Paspalum dilatatum","51","Sarolangun","Batu Putih",5,"Rubber",2018
"103",34,"Dicranopteris linearis","4","Sarolangun","Batu Putih",5,"Rubber",2018
"104",37,"Dicranopteris linearis","5","Sarolangun","Batu Putih",1,"Rubber",2018
"105",37,"Croton hirtus","1","Sarolangun","Batu Putih",1,"Rubber",2018
"106",37,"Buah berbulu","2","Sarolangun","Batu Putih",1,"Rubber",2018
"107",37,"Clidemia hirta","341","Sarolangun","Batu Putih",1,"Rubber",2018
"108",37,"Melastoma malabathricum","121","Sarolangun","Batu Putih",1,"Rubber",2018
"109",37,"Lindsaea ensifolia","7","Sarolangun","Batu Putih",1,"Rubber",2018
"110",37,"Cyrtococcum patens","2320","Sarolangun","Batu Putih",1,"Rubber",2018
"111",37,"Lygodium salicifolium","6","Sarolangun","Batu Putih",1,"Rubber",2018
"112",37,"endospermum","1","Sarolangun","Batu Putih",1,"Rubber",2018
"113",37,"Daun Bergerigi","2","Sarolangun","Batu Putih",1,"Rubber",2018
"114",37,"helminthostachys","5","Sarolangun","Batu Putih",1,"Rubber",2018
"115",37,"leptaspis","821","Sarolangun","Batu Putih",1,"Rubber",2018
"116",37,"Mirip Daun Jati","1","Sarolangun","Batu Putih",1,"Rubber",2018
"117",37,"Daun Hati","25","Sarolangun","Batu Putih",1,"Rubber",2018
"118",39,"Asystasia gangetica","116","Sarolangun","Batu Putih",1,"Rubber",2018
"119",39,"Clidemia hirta","130","Sarolangun","Batu Putih",1,"Rubber",2018
"120",39,"leptaspis","342","Sarolangun","Batu Putih",1,"Rubber",2018
"121",39,"Lindsaea ensifolia","11","Sarolangun","Batu Putih",1,"Rubber",2018
"122",39,"Ageratum conyzoides","56","Sarolangun","Batu Putih",1,"Rubber",2018
"123",39,"Mangifera indica","15","Sarolangun","Batu Putih",1,"Rubber",2018
"124",39,"Davallia denticulata","11","Sarolangun","Batu Putih",1,"Rubber",2018
"125",39,"Phylanthus urinaria","5","Sarolangun","Batu Putih",1,"Rubber",2018
"126",39,"LN: Laos- Laosan","1","Sarolangun","Batu Putih",1,"Rubber",2018
"127",39,"Polygala paniculata","12","Sarolangun","Batu Putih",1,"Rubber",2018
"128",39,"Mimosa pudica","2","Sarolangun","Batu Putih",1,"Rubber",2018
"129",39,"Scleria ciliaris","52","Sarolangun","Batu Putih",1,"Rubber",2018
"130",39,"Stachytarpheta indica","120","Sarolangun","Batu Putih",1,"Rubber",2018
"131",39,"similar to daun katu","23","Sarolangun","Batu Putih",1,"Rubber",2018
"132",39,"Polygala paniculata","21","Sarolangun","Batu Putih",1,"Rubber",2018
"133",39,"Daun Jarak","17","Sarolangun","Batu Putih",1,"Rubber",2018
"134",39,"Cyrtococcum patens","560","Sarolangun","Batu Putih",1,"Rubber",2018
"135",40,"Cyrtococcum patens","12","Sarolangun","Batu Putih",1,"Palm Oil",2018
"136",40,"Melastoma malabathricum","2","Sarolangun","Batu Putih",1,"Palm Oil",2018
"137",40,"Leptaspis urceolata","20","Sarolangun","Batu Putih",1,"Palm Oil",2018
"138",40,"Asystasia gangetica","81","Sarolangun","Batu Putih",1,"Palm Oil",2018
"139",40,"Clidemia hirta","26","Sarolangun","Batu Putih",1,"Palm Oil",2018
"140",44,"Centotheca lappacea","1052","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"141",44,"daun berbulu","2","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"142",44,"Melastoma malabathricum","60","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"143",44,"Leptaspis urceolata","81","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"144",44,"Cyrtococcum patens","1242","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"145",44,"Asystasia gangetica","352","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"146",44,"Clidemia hirta","130","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"147",44,"Lindsaea ensifolia","5","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"148",46,"Phylanthus urinaria","3","Sarolangun","Bukit Murau",2,"Rubber",2018
"149",46,"Rhynchospora Colorata","23","Sarolangun","Bukit Murau",2,"Rubber",2018
"150",46,"Asystasia gangetica","69","Sarolangun","Bukit Murau",2,"Rubber",2018
"151",46,"Rolandra fruticosa","5","Sarolangun","Bukit Murau",2,"Rubber",2018
"152",46,"Clidemia hirta","3","Sarolangun","Bukit Murau",2,"Rubber",2018
"153",46,"Jamur Tanah","2","Sarolangun","Bukit Murau",2,"Rubber",2018
"154",46,"Spermaococe cristata","4","Sarolangun","Bukit Murau",2,"Rubber",2018
"155",46,"Mirip Waru","1","Sarolangun","Bukit Murau",2,"Rubber",2018
"156",47,"Imperata cylindrica","43","Sarolangun","Bukit Murau",2,"Rubber",2018
"157",47,"Lindsaea ensifolia","3","Sarolangun","Bukit Murau",2,"Rubber",2018
"158",47,"Blechnum orientale","7","Sarolangun","Bukit Murau",2,"Rubber",2018
"159",47,"Clidemia hirta","35","Sarolangun","Bukit Murau",2,"Rubber",2018
"160",47,"LN: Pulai","2","Sarolangun","Bukit Murau",2,"Rubber",2018
"161",47,"Lygodium salicifolium","4","Sarolangun","Bukit Murau",2,"Rubber",2018
"162",47,"Mimosa pudica","8","Sarolangun","Bukit Murau",2,"Rubber",2018
"163",47,"Ubi Kayu","6","Sarolangun","Bukit Murau",2,"Rubber",2018
"164",47,"Cyrtococcum patens","103","Sarolangun","Bukit Murau",2,"Rubber",2018
"165",47,"Mangifera indica","7","Sarolangun","Bukit Murau",2,"Rubber",2018
"166",47,"Calopogonium Mucunoides","1","Sarolangun","Bukit Murau",2,"Rubber",2018
"167",47,"Jambu bol","1","Sarolangun","Bukit Murau",2,"Rubber",2018
"168",47,"Asystasia gangetica","243","Sarolangun","Bukit Murau",2,"Rubber",2018
"169",47,"Scoparia Dulcis","2","Sarolangun","Bukit Murau",2,"Rubber",2018
"170",54,"Asystasia gangetica","51","Sarolangun","Bukit talang mas",1,"Rubber",2018
"171",54,"Ageratum conyzoides","15","Sarolangun","Bukit talang mas",1,"Rubber",2018
"172",54,"Melastoma malabathricum","36","Sarolangun","Bukit talang mas",1,"Rubber",2018
"173",54,"Scleria ciliaris","12","Sarolangun","Bukit talang mas",1,"Rubber",2018
"174",54,"Daun Hati","655","Sarolangun","Bukit talang mas",1,"Rubber",2018
"175",54,"Imperata cylindrica","20","Sarolangun","Bukit talang mas",1,"Rubber",2018
"176",54,"Centotheca lappacea","230","Sarolangun","Bukit talang mas",1,"Rubber",2018
"177",54,"Mimosa pudica","7","Sarolangun","Bukit talang mas",1,"Rubber",2018
"178",54,"Polygala paniculata","15","Sarolangun","Bukit talang mas",1,"Rubber",2018
"179",54,"Paspalum dilatatum","9","Sarolangun","Bukit talang mas",1,"Rubber",2018
"180",56,"Ophioglossum Pendulum","3","Sarolangun","Bukit Murau",1,"Rubber",2018
"181",56,"Sauropus androgynus","6","Sarolangun","Bukit Murau",1,"Rubber",2018
"182",56,"Clidemia hirta","564","Sarolangun","Bukit Murau",1,"Rubber",2018
"183",56,"Leptaspis urceolata","32","Sarolangun","Bukit Murau",1,"Rubber",2018
"184",56,"Scleria ciliaris","8","Sarolangun","Bukit Murau",1,"Rubber",2018
"185",56,"Dicranopteris linearis","26","Sarolangun","Bukit Murau",1,"Rubber",2018
"186",56,"Melastoma malabathricum","6","Sarolangun","Bukit Murau",1,"Rubber",2018
"187",56,"Lindsaea ensifolia","12","Sarolangun","Bukit Murau",1,"Rubber",2018
"188",56,"Axonopus compressus","24","Sarolangun","Bukit Murau",1,"Rubber",2018
"189",57,"Cyrtococcum patens","2052","Sarolangun","Bukit murau",1,"rubber",2018
"190",57,"Cyrtococcum patens","2052","Sarolangun","Bukit Murau",1,"Rubber",2018
"191",57,"Clidemia hirta","5","Sarolangun","Bukit murau",1,"rubber",2018
"192",57,"Clidemia hirta","5","Sarolangun","Bukit Murau",1,"Rubber",2018
"193",57,"Mangifera indica","2","Sarolangun","Bukit murau",1,"rubber",2018
"194",57,"Mangifera indica","2","Sarolangun","Bukit Murau",1,"Rubber",2018
"195",57,"Blechnum orientale","3","Sarolangun","Bukit murau",1,"rubber",2018
"196",57,"Blechnum orientale","3","Sarolangun","Bukit Murau",1,"Rubber",2018
"197",57,"Lygodium salicifolium","8","Sarolangun","Bukit murau",1,"rubber",2018
"198",57,"Lygodium salicifolium","8","Sarolangun","Bukit Murau",1,"Rubber",2018
"199",57,"sirih-sirihan","1","Sarolangun","Bukit murau",1,"rubber",2018
"200",57,"sirih-sirihan","1","Sarolangun","Bukit Murau",1,"Rubber",2018
"201",57,"Macaranga bancana","1","Sarolangun","Bukit murau",1,"rubber",2018
"202",57,"Macaranga bancana","1","Sarolangun","Bukit Murau",1,"Rubber",2018
"203",57,"Lygodium circinatum","5","Sarolangun","Bukit murau",1,"rubber",2018
"204",57,"Lygodium circinatum","5","Sarolangun","Bukit Murau",1,"Rubber",2018
"205",57,"Sauropus androgynus","2","Sarolangun","Bukit murau",1,"rubber",2018
"206",57,"Sauropus androgynus","2","Sarolangun","Bukit Murau",1,"Rubber",2018
"207",57,"Leptaspis urceolata","40","Sarolangun","Bukit murau",1,"rubber",2018
"208",57,"Leptaspis urceolata","40","Sarolangun","Bukit Murau",1,"Rubber",2018
"209",57,"LN: Laos- Laosan","30","Sarolangun","Bukit murau",1,"rubber",2018
"210",57,"LN: Laos- Laosan","30","Sarolangun","Bukit Murau",1,"Rubber",2018
"211",57,"Mussaenda frondosa","1","Sarolangun","Bukit murau",1,"rubber",2018
"212",57,"Mussaenda frondosa","1","Sarolangun","Bukit Murau",1,"Rubber",2018
"213",60,"Asplenium nidus","1","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"214",60,"Axonopus compressus","2300","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"215",60,"Clidemia hirta","200","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"216",60,"Daun Hati","500","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"217",60,"Asystasia gangetica","1230","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"218",60,"Leptaspis urceolata","120","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"219",60,"Scleria ciliaris","12","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"220",60,"Davallia denticulata","5","Sarolangun","Bukit Talang Mas",2,"Rubber",2018
"221",63,"Gerombola hijau","13","Sarolangun","Bukit Murau",1,"Rubber",2018
"222",63,"Clidemia hirta","56","Sarolangun","Bukit Murau",1,"Rubber",2018
"223",63,"Cyrtococcum patens","89","Sarolangun","Bukit Murau",1,"Rubber",2018
"224",63,"Paspalum dilatatum","14","Sarolangun","Bukit Murau",1,"Rubber",2018
"225",63,"Axonopus compressus","78","Sarolangun","Bukit Murau",1,"Rubber",2018
"226",63,"Mussaenda frondosa","9","Sarolangun","Bukit Murau",1,"Rubber",2018
"227",63,"Ludwigia octovalvis","4","Sarolangun","Bukit Murau",1,"Rubber",2018
"228",63,"Lygodium circinatum","3","Sarolangun","Bukit Murau",1,"Rubber",2018
"229",63,"Calopogonium Mucunoides","8","Sarolangun","Bukit Murau",1,"Rubber",2018
"230",63,"Endospermum diadenum","4","Sarolangun","Bukit Murau",1,"Rubber",2018
"231",63,"Phylanthus urinaria","8","Sarolangun","Bukit Murau",1,"Rubber",2018
"232",63,"Polygala paniculata","6","Sarolangun","Bukit Murau",1,"Rubber",2018
"233",63,"Melastoma malabathricum","15","Sarolangun","Bukit Murau",1,"Rubber",2018
"234",63,"Leptaspis urceolata","24","Sarolangun","Bukit Murau",1,"Rubber",2018
"235",63,"Asystasia gangetica","63","Sarolangun","Bukit Murau",1,"Rubber",2018
"236",63,"Cleome Rutidosperma","34","Sarolangun","Bukit Murau",1,"Rubber",2018
"237",63,"Mimosa pudica","15","Sarolangun","Bukit Murau",1,"Rubber",2018
"238",63,"Ageratum conyzoides","25","Sarolangun","Bukit Murau",1,"Rubber",2018
"239",70,"Asystasia gangetica","181","Sarolangun","Payo Lebar",1,"Rubber",2018
"240",70,"Scleria ciliaris","57","Sarolangun","Payo Lebar",1,"Rubber",2018
"241",70,"Cyrtococcum patens","425","Sarolangun","Payo Lebar",1,"Rubber",2018
"242",70,"leptspis urceolata","20","Sarolangun","Payo Lebar",1,"Rubber",2018
"243",70,"Molinera latifolia","1","Sarolangun","Payo Lebar",1,"Rubber",2018
"244",70,"Endospermum diadenum","1","Sarolangun","Payo Lebar",1,"Rubber",2018
"245",71,"Salomonia cantoniensis","18","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"246",71,"Scleria ciliaris","5","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"247",71,"Vittaria ensiformis","50","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"248",71,"Clidemia hirta","5","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"249",71,"Melastoma affine","2","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"250",71,"MS: Rumput gajah","260","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"251",71,"Rolandra fruticosa","26","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"252",71,"tumbuhan paku","33","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"253",71,"carex rupestris","92","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"254",71,"lumut","3520","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"255",71,"Legazpia polygonoides","2520","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"256",71,"Asystasia gangetica","85","Sarolangun","Payo Lebar",1,"Palm Oil",2018
"257",74,"Scleria ciliaris","12","Sarolangun","Payo Lebar",1,"Rubber",2018
"258",74,"Clidemia hirta","73","Sarolangun","Payo Lebar",1,"Rubber",2018
"259",74,"Legazpia polygonoides","217","Sarolangun","Payo Lebar",1,"Rubber",2018
"260",74,"Melastoma malabathricum","32","Sarolangun","Payo Lebar",1,"Rubber",2018
"261",74,"Dicranopteris linearis","2","Sarolangun","Payo Lebar",1,"Rubber",2018
"262",74,"Lindernia diffusa","15","Sarolangun","Payo Lebar",1,"Rubber",2018
"263",74,"Lindsaea ensifolia","15","Sarolangun","Payo Lebar",1,"Rubber",2018
"264",74,"Cyrtococcum patens","105","Sarolangun","Payo Lebar",1,"Rubber",2018
"265",74,"juncus bufonius","32","Sarolangun","Payo Lebar",1,"Rubber",2018
"266",74,"bunga berjarak","81","Sarolangun","Payo Lebar",1,"Rubber",2018
"267",74,"Centotheca lappacea","51","Sarolangun","Payo Lebar",1,"Rubber",2018
"268",76,"Phylanthus urinaria","3","Sarolangun","Payo Lebar",1,"Rubber",2018
"269",76,"Asystasia gangetica","215","Sarolangun","Payo Lebar",1,"Rubber",2018
"270",76,"Clidemia hirta","15","Sarolangun","Payo Lebar",1,"Rubber",2018
"271",76,"endospermum","22","Sarolangun","Payo Lebar",1,"Rubber",2018
"272",76,"daun bergerigi","3","Sarolangun","Payo Lebar",1,"Rubber",2018
"273",76,"Daun Sirih","3","Sarolangun","Payo Lebar",1,"Rubber",2018
"274",76,"Mirip Daun Durian","1","Sarolangun","Payo Lebar",1,"Rubber",2018
"275",76,"Cyrtococcum patens","853","Sarolangun","Payo Lebar",1,"Rubber",2018
"276",76,"Daun Hati","3","Sarolangun","Payo Lebar",1,"Rubber",2018
"277",76,"Lygodium sp.","6","Sarolangun","Payo Lebar",1,"Rubber",2018
"278",76,"Melastoma malabathricum","2","Sarolangun","Payo Lebar",1,"Rubber",2018
"279",80,"Axonopus compressus","63","Sarolangun","Payo Lebar",2,"Rubber",2018
"280",80,"Merremia Umbellata","2","Sarolangun","Payo Lebar",2,"Rubber",2018
"281",80,"Goniophlebium verrucosum","6","Sarolangun","Payo Lebar",2,"Rubber",2018
"282",80,"LN: Pulai","1","Sarolangun","Payo Lebar",2,"Rubber",2018
"283",80,"Clidemia hirta","56","Sarolangun","Payo Lebar",2,"Rubber",2018
"284",80,"Melastoma malabathricum","13","Sarolangun","Payo Lebar",2,"Rubber",2018
"285",80,"Asystasia gangetica","143","Sarolangun","Payo Lebar",2,"Rubber",2018
"286",80,"Scleria ciliaris","124","Sarolangun","Payo Lebar",2,"Rubber",2018
"287",80,"Batang Daun Bulu","1","Sarolangun","Payo Lebar",2,"Rubber",2018
"288",80,"Cyrtococcum patens","136","Sarolangun","Payo Lebar",2,"Rubber",2018
"289",80,"Rolandra fruticosa","11","Sarolangun","Payo Lebar",2,"Rubber",2018
"290",80,"Endospermum diadenum","2","Sarolangun","Payo Lebar",2,"Rubber",2018
"291",80,"Colopogonium Mucunoides","4","Sarolangun","Payo Lebar",2,"Rubber",2018
"292",80,"Mirip Karet","1","Sarolangun","Payo Lebar",2,"Rubber",2018
"293",80,"Sauropus androgynus","3","Sarolangun","Payo Lebar",2,"Rubber",2018
"294",83,"Ageratum conyzoides","14","Sarolangun","Payo Lebar",1,"Rubber",2018
"295",83,"Asystasia gangetica","78","Sarolangun","Payo Lebar",1,"Rubber",2018
"296",83,"Clidemia hirta","173","Sarolangun","Payo Lebar",1,"Rubber",2018
"297",83,"Nephrolepis biserrata","4","Sarolangun","Payo Lebar",1,"Rubber",2018
"298",83,"Phylanthus urinaria","5","Sarolangun","Payo Lebar",1,"Rubber",2018
"299",83,"Melastoma malabathricum","64","Sarolangun","Payo Lebar",1,"Rubber",2018
